"","KIDSDRIV","HOMEKIDS","PARENT1","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","URBANICITY","AGE","YOJ","INCOME","HOME_VAL","CAR_AGE","TARGET_FLAG","TARGET_AMT"
"8176",0,3,FALSE,TRUE,TRUE,1,Clerical,26,TRUE,14690,4,Minivan,TRUE,0,0,TRUE,0,FALSE,34,12,22510,123888,1,FALSE,0
"8177",0,2,TRUE,FALSE,FALSE,0,Blue Collar,43,TRUE,9730,5,SUV,FALSE,0,0,FALSE,4,TRUE,35,12,24513,0,4,TRUE,6373.79225476291
"8178",2,2,FALSE,TRUE,FALSE,0,Blue Collar,27,TRUE,1500,4,Sports Car,FALSE,25276,1,FALSE,8,TRUE,44,14,45576,156623,5,TRUE,5018.03318774593
"8179",0,0,FALSE,TRUE,TRUE,3,None,40,FALSE,23230,6,Panel Truck,TRUE,0,0,FALSE,1,TRUE,48,9,61509,195438,17,FALSE,0
"8180",0,0,FALSE,TRUE,FALSE,1,Clerical,57,TRUE,9170,4,Sports Car,FALSE,42342,2,TRUE,2,TRUE,62,15,40656,208242,7,TRUE,3575.90206892106
"8181",0,0,FALSE,FALSE,FALSE,2,Clerical,27,TRUE,10850,1,SUV,FALSE,8350,1,FALSE,2,TRUE,39,11,33727,0,12,FALSE,0
"8182",0,0,FALSE,TRUE,TRUE,1,Student,41,FALSE,17470,10,Van,FALSE,3157,2,FALSE,5,FALSE,38,0,0,0,6,FALSE,0
"8183",0,2,FALSE,TRUE,FALSE,1,Home Maker,36,TRUE,8750,4,Sports Car,FALSE,0,0,FALSE,0,TRUE,39,0,0,69369,8,FALSE,0
"8184",2,2,FALSE,TRUE,TRUE,3,Manager,28,TRUE,21790,6,Minivan,TRUE,0,0,FALSE,2,TRUE,44,13,142588,365256,9,FALSE,0
"8185",0,0,FALSE,FALSE,FALSE,1,Clerical,33,TRUE,13770,4,SUV,FALSE,0,0,FALSE,0,TRUE,45,12,32394,0,1,FALSE,0
"8186",0,1,FALSE,TRUE,FALSE,2,Home Maker,26,TRUE,8350,1,SUV,FALSE,0,0,FALSE,3,TRUE,43,0,0,70170,7,FALSE,0
"8187",0,0,FALSE,TRUE,TRUE,0,Blue Collar,23,FALSE,14620,6,SUV,FALSE,3994,2,FALSE,0,TRUE,64,15,31738,197010,1,FALSE,0
"8188",0,0,FALSE,FALSE,TRUE,4,None,21,FALSE,7500,9,Pickup,TRUE,7278,2,FALSE,4,TRUE,60,9,125893,0,15,FALSE,3.24649860417981e-12
"8189",2,4,TRUE,FALSE,FALSE,2,Blue Collar,27,TRUE,20450,6,SUV,FALSE,4645,1,FALSE,3,TRUE,35,6,154577,397868,1,FALSE,0
"8190",0,0,FALSE,TRUE,FALSE,1,Manager,23,TRUE,13150,11,SUV,FALSE,0,0,FALSE,2,TRUE,52,11,79348,270032,1,FALSE,0
"8191",0,2,FALSE,TRUE,TRUE,4,None,31,FALSE,21100,1,Van,TRUE,0,0,FALSE,0,TRUE,56,14,192089,471701,15,FALSE,8.23718809754041e-13
"8192",0,0,FALSE,TRUE,FALSE,3,Manager,18,TRUE,12320,1,SUV,FALSE,0,0,TRUE,0,TRUE,55,15,108152,329756,15,FALSE,0
"8193",0,0,FALSE,FALSE,TRUE,2,Professional,28,FALSE,20920,3,Van,TRUE,6224,1,FALSE,1,TRUE,26,8,53244,0,8,FALSE,0
"8194",0,0,FALSE,TRUE,TRUE,3,Lawyer,14,TRUE,13630,1,Minivan,FALSE,0,0,FALSE,4,TRUE,52,8,88560,244028,17,FALSE,0
"8195",0,0,FALSE,TRUE,TRUE,3,None,21,FALSE,16640,1,Van,TRUE,0,0,FALSE,2,TRUE,41,12,110386,335488,14,FALSE,0
"8196",0,0,FALSE,FALSE,FALSE,2,Professional,5,TRUE,12360,4,SUV,FALSE,0,0,FALSE,0,TRUE,49,12,53765,0,1,FALSE,0
"8197",0,2,FALSE,TRUE,FALSE,1,Clerical,68,TRUE,23610,4,SUV,FALSE,0,0,FALSE,1,FALSE,30,15,26226,165178,1,FALSE,0
"8198",1,3,FALSE,TRUE,FALSE,0,Clerical,12,TRUE,22560,1,Minivan,FALSE,0,0,FALSE,1,TRUE,34,12,29431,143149,6,FALSE,0
"8199",0,0,FALSE,TRUE,FALSE,3,None,5,FALSE,19800,4,Pickup,FALSE,37163,1,FALSE,4,TRUE,44,14,44790,205463,9,FALSE,0
"8200",0,0,FALSE,TRUE,TRUE,3,Lawyer,5,TRUE,10230,4,Pickup,TRUE,0,0,FALSE,0,TRUE,49,14,38326,133010,17,FALSE,0
"8201",1,2,FALSE,TRUE,FALSE,0,Blue Collar,30,TRUE,9740,7,SUV,FALSE,2235,1,FALSE,8,TRUE,40,12,35260,141167,1,TRUE,6341.36887783602
"8202",0,3,FALSE,TRUE,TRUE,2,Blue Collar,37,FALSE,7690,10,Pickup,FALSE,0,0,FALSE,2,TRUE,26,9,33283,104323,16,FALSE,0
"8203",0,0,FALSE,TRUE,FALSE,0,Clerical,43,TRUE,15080,6,SUV,FALSE,0,0,TRUE,4,TRUE,46,7,26697,134863,1,TRUE,5363.23868413023
"8204",0,0,FALSE,FALSE,TRUE,3,Lawyer,38,TRUE,18720,7,Van,FALSE,0,0,FALSE,2,FALSE,50,7,73308,240645,19,FALSE,0
"8205",0,0,FALSE,FALSE,FALSE,1,Clerical,24,TRUE,17880,7,Sports Car,FALSE,9873,3,FALSE,5,TRUE,62,12,22181,185459,1,TRUE,7438.20795745381
"8206",0,1,FALSE,TRUE,FALSE,2,Professional,41,TRUE,24160,9,Minivan,FALSE,0,0,FALSE,0,FALSE,53,13,52759,164906,13,FALSE,0
"8207",0,0,FALSE,TRUE,TRUE,3,None,51,FALSE,6720,4,Pickup,FALSE,0,0,FALSE,0,TRUE,44,4,146267,357184,10,FALSE,0
"8208",0,1,FALSE,TRUE,FALSE,2,Manager,35,TRUE,15060,7,SUV,FALSE,9592,1,FALSE,0,TRUE,48,10,84629,308848,10,FALSE,0
"8209",1,2,FALSE,TRUE,FALSE,3,Lawyer,46,TRUE,24600,1,Van,FALSE,28026,2,TRUE,2,TRUE,45,17,111268,288071,10,FALSE,0
"8210",0,0,FALSE,FALSE,FALSE,2,Home Maker,43,TRUE,26250,8,Pickup,FALSE,0,0,FALSE,0,FALSE,41,10,97700,0,6,FALSE,0
"8211",0,3,TRUE,FALSE,FALSE,1,Clerical,9,TRUE,7800,4,SUV,FALSE,0,0,TRUE,0,TRUE,32,13,30955,111256,8,TRUE,3742.39360205045
"8212",0,1,FALSE,TRUE,TRUE,3,Professional,23,FALSE,6400,10,Pickup,TRUE,0,0,FALSE,0,TRUE,49,15,89612,261946,23,FALSE,0
"8213",0,0,FALSE,FALSE,FALSE,2,Professional,29,TRUE,26480,11,Sports Car,FALSE,8623,3,FALSE,5,TRUE,41,12,80718,0,8,FALSE,0
"8214",1,2,FALSE,TRUE,TRUE,1,Blue Collar,29,FALSE,10510,1,Pickup,FALSE,4276,3,FALSE,7,TRUE,44,15,46140,169084,1,TRUE,6520.40172054306
"8215",0,0,FALSE,FALSE,TRUE,3,Manager,29,TRUE,14210,6,Minivan,TRUE,0,0,FALSE,1,TRUE,47,12,80105,0,12,FALSE,0
"8216",2,2,FALSE,TRUE,TRUE,0,Student,43,FALSE,5850,1,Pickup,TRUE,9419,1,FALSE,5,FALSE,41,8,3985,0,6,FALSE,0
"8217",0,2,TRUE,FALSE,TRUE,2,Blue Collar,33,FALSE,13470,11,Minivan,TRUE,0,0,FALSE,0,TRUE,41,10,78675,265450,3,FALSE,0
"8218",0,0,FALSE,FALSE,TRUE,4,None,27,FALSE,23370,4,Panel Truck,TRUE,4117,2,FALSE,4,TRUE,50,10,219024,0,20,FALSE,5.15283270491963e-13
"8219",0,0,FALSE,FALSE,FALSE,3,Lawyer,18,TRUE,12160,1,SUV,FALSE,9768,1,FALSE,6,TRUE,51,10,55573,0,14,FALSE,0
"8220",0,0,FALSE,TRUE,TRUE,4,Doctor,33,TRUE,11270,1,Pickup,TRUE,0,0,FALSE,0,TRUE,53,8,61862,245885,14,FALSE,0
"8221",0,3,FALSE,TRUE,FALSE,0,Blue Collar,34,TRUE,7270,1,SUV,FALSE,0,0,TRUE,1,TRUE,32,14,21944,128776,1,TRUE,4756.68086920937
"8222",0,0,FALSE,TRUE,FALSE,3,Lawyer,23,TRUE,10000,4,SUV,FALSE,0,0,FALSE,0,FALSE,48,14,42008,176219,14,FALSE,0
"8223",0,0,FALSE,TRUE,FALSE,3,Manager,17,TRUE,15910,4,SUV,FALSE,0,0,FALSE,1,TRUE,54,8,90149,261569,10,FALSE,0
"8224",0,0,FALSE,FALSE,TRUE,3,None,5,FALSE,17020,1,Van,TRUE,1316,2,FALSE,1,TRUE,55,15,75249,0,21,FALSE,1.22592460999345e-11
"8225",0,0,FALSE,FALSE,FALSE,3,Manager,23,TRUE,20320,4,Minivan,FALSE,1197,2,FALSE,6,TRUE,51,11,117016,0,8,FALSE,0
"8226",0,0,FALSE,TRUE,TRUE,2,Professional,29,TRUE,13850,6,Minivan,TRUE,0,0,FALSE,0,TRUE,47,7,76462,229334,7,FALSE,0
"8227",0,1,FALSE,TRUE,FALSE,3,Home Maker,19,TRUE,2640,4,Sports Car,FALSE,2219,2,FALSE,1,TRUE,44,8,0,70461,13,FALSE,0
"8228",0,0,FALSE,TRUE,FALSE,1,Blue Collar,39,FALSE,5100,1,SUV,FALSE,2949,2,FALSE,9,TRUE,36,13,20891,134406,7,TRUE,4616.00654902466
"8229",0,2,TRUE,FALSE,FALSE,0,Clerical,52,TRUE,19340,9,Minivan,FALSE,5658,3,FALSE,7,TRUE,35,10,17493,102902,1,TRUE,7000.52708846675
"8230",0,0,FALSE,FALSE,FALSE,3,Lawyer,45,TRUE,18060,8,SUV,FALSE,0,0,FALSE,0,TRUE,43,11,39848,136304,15,FALSE,0
"8231",0,1,TRUE,FALSE,FALSE,2,Blue Collar,17,FALSE,28700,1,SUV,FALSE,0,0,FALSE,0,FALSE,42,12,117978,0,7,FALSE,0
"8232",0,0,FALSE,TRUE,FALSE,2,Manager,18,TRUE,20940,6,Minivan,FALSE,0,0,FALSE,0,TRUE,56,12,62483,225810,8,FALSE,0
"8233",0,0,FALSE,FALSE,TRUE,2,Professional,36,TRUE,12740,6,Minivan,TRUE,3320,1,FALSE,4,TRUE,39,14,73367,0,7,FALSE,0
"8234",0,4,TRUE,FALSE,FALSE,0,Student,7,TRUE,6780,4,SUV,FALSE,7181,3,FALSE,5,TRUE,32,15,4478,0,8,TRUE,5552.2901731242
"8235",0,1,FALSE,TRUE,TRUE,2,Student,22,FALSE,6500,4,Pickup,TRUE,0,0,FALSE,0,TRUE,44,9,5952,0,10,FALSE,0
"8236",0,1,FALSE,TRUE,TRUE,1,Blue Collar,56,FALSE,9000,4,Pickup,TRUE,3288,3,FALSE,6,TRUE,44,11,75046,244819,10,TRUE,4656.20433179079
"8237",0,0,FALSE,FALSE,FALSE,2,Manager,51,TRUE,16260,1,SUV,FALSE,8035,3,FALSE,0,TRUE,38,10,75432,0,13,FALSE,0
"8238",0,3,FALSE,TRUE,FALSE,0,Clerical,44,TRUE,11490,1,SUV,FALSE,0,0,FALSE,3,TRUE,35,13,64872,187354,8,FALSE,0
"8239",0,0,FALSE,FALSE,TRUE,3,Lawyer,47,TRUE,13700,6,Minivan,TRUE,6183,3,FALSE,3,TRUE,55,14,66964,0,18,FALSE,0
"8240",0,2,FALSE,TRUE,TRUE,1,Clerical,34,TRUE,12880,6,Minivan,TRUE,1830,1,FALSE,0,TRUE,42,11,34210,186734,1,FALSE,0
"8241",1,2,FALSE,TRUE,FALSE,0,Blue Collar,40,TRUE,8140,7,SUV,FALSE,0,0,FALSE,0,FALSE,43,11,24124,157794,1,FALSE,0
"8242",0,0,FALSE,TRUE,FALSE,1,Blue Collar,37,FALSE,7410,1,SUV,FALSE,3704,2,FALSE,0,TRUE,44,12,39852,125283,6,TRUE,4213.25516173587
"8243",0,0,FALSE,FALSE,FALSE,3,Lawyer,27,TRUE,15820,1,SUV,FALSE,7181,2,FALSE,3,TRUE,51,13,65702,0,1,FALSE,0
"8244",0,1,FALSE,TRUE,FALSE,2,Clerical,35,FALSE,21940,4,Pickup,FALSE,1494,2,FALSE,3,TRUE,34,12,68833,183087,9,FALSE,0
"8245",1,2,FALSE,TRUE,TRUE,0,Blue Collar,65,TRUE,16920,10,Van,TRUE,0,0,FALSE,1,FALSE,40,6,54159,180764,1,FALSE,0
"8246",0,3,FALSE,TRUE,FALSE,1,Student,27,FALSE,22260,10,Pickup,FALSE,0,0,TRUE,0,TRUE,37,17,6217,0,4,FALSE,0
"8247",0,0,FALSE,TRUE,TRUE,0,Blue Collar,29,FALSE,16870,1,Van,TRUE,3546,1,FALSE,6,TRUE,58,14,39707,192089,6,TRUE,7509.82503982457
"8248",0,0,FALSE,TRUE,TRUE,0,Blue Collar,11,TRUE,17790,3,Van,FALSE,0,0,TRUE,0,TRUE,50,10,24358,128210,7,FALSE,0
"8249",0,0,FALSE,FALSE,FALSE,3,None,42,FALSE,24410,6,Pickup,FALSE,6948,1,FALSE,0,TRUE,46,7,106409,0,18,FALSE,0
"8250",0,0,FALSE,TRUE,FALSE,4,Doctor,35,TRUE,18070,4,Minivan,FALSE,0,0,FALSE,0,TRUE,53,14,59797,178230,16,FALSE,0
"8251",0,2,FALSE,TRUE,FALSE,1,Blue Collar,16,FALSE,11770,1,Sports Car,FALSE,834,2,FALSE,8,TRUE,63,10,52064,214655,1,TRUE,7300.924826244
"8252",0,0,FALSE,TRUE,TRUE,4,Doctor,22,TRUE,21440,1,Van,FALSE,8744,2,FALSE,0,TRUE,53,7,77012,316239,13,FALSE,0
"8253",0,0,FALSE,TRUE,FALSE,1,Student,58,TRUE,15840,7,Sports Car,FALSE,4070,2,FALSE,2,FALSE,36,11,17085,0,1,FALSE,0
"8254",0,0,FALSE,TRUE,TRUE,3,None,19,FALSE,29690,11,Panel Truck,TRUE,0,0,FALSE,0,TRUE,43,13,238856,553501,22,FALSE,0
"8255",0,0,FALSE,TRUE,FALSE,2,Manager,51,TRUE,22340,1,SUV,FALSE,3155,1,FALSE,2,TRUE,54,12,69625,271183,12,FALSE,0
"8256",0,3,FALSE,TRUE,TRUE,1,Clerical,22,FALSE,19330,4,Van,TRUE,0,0,FALSE,1,FALSE,39,16,42535,189139,8,FALSE,4.18859637920635e-12
"8257",1,2,FALSE,TRUE,TRUE,2,Manager,39,FALSE,34680,1,Panel Truck,FALSE,0,0,FALSE,1,TRUE,43,14,81674,233744,10,FALSE,0
"8258",0,0,FALSE,TRUE,TRUE,2,Professional,31,TRUE,15660,1,Minivan,FALSE,0,0,FALSE,0,FALSE,51,13,34658,159187,11,FALSE,0
"8259",0,0,FALSE,FALSE,FALSE,1,Home Maker,5,TRUE,25540,1,Sports Car,FALSE,0,0,FALSE,0,TRUE,42,0,0,0,1,FALSE,0
"8260",0,0,FALSE,FALSE,TRUE,3,None,28,FALSE,19530,9,Van,FALSE,2948,3,FALSE,2,TRUE,41,6,86227,237057,17,FALSE,0
"8261",0,1,FALSE,TRUE,TRUE,1,Manager,5,FALSE,11510,10,Pickup,TRUE,3079,3,FALSE,0,TRUE,35,12,77126,242001,1,FALSE,0
"8262",0,2,FALSE,TRUE,FALSE,0,Student,32,TRUE,4810,1,SUV,FALSE,0,0,FALSE,0,TRUE,35,0,0,0,6,FALSE,0
"8263",1,3,TRUE,FALSE,TRUE,1,Clerical,22,TRUE,16860,4,Van,TRUE,0,0,FALSE,0,TRUE,41,5,30043,0,1,TRUE,7114.50873148137
"8264",0,0,FALSE,TRUE,TRUE,1,Clerical,37,FALSE,11290,4,Pickup,TRUE,5076,3,FALSE,5,TRUE,43,14,54932,225678,1,TRUE,5506.45597669543
"8265",0,0,FALSE,FALSE,TRUE,0,Blue Collar,21,FALSE,17470,6,Van,TRUE,16121,3,TRUE,3,TRUE,42,8,94591,309644,8,TRUE,5819.53107150755
"8266",1,2,FALSE,TRUE,FALSE,2,Professional,32,TRUE,28740,1,Minivan,FALSE,0,0,FALSE,1,TRUE,56,17,78323,315504,6,FALSE,0
"8267",0,1,TRUE,FALSE,FALSE,2,Clerical,6,TRUE,23140,10,Minivan,FALSE,0,0,FALSE,0,TRUE,40,13,79715,0,7,FALSE,0
"8268",0,0,FALSE,FALSE,TRUE,2,Professional,24,TRUE,11880,1,Pickup,FALSE,0,0,FALSE,0,TRUE,51,12,40760,186223,8,FALSE,0
"8269",0,0,FALSE,FALSE,TRUE,1,Clerical,27,FALSE,8140,10,Pickup,TRUE,0,0,FALSE,1,FALSE,38,10,28409,0,7,FALSE,0
"8270",0,3,TRUE,FALSE,FALSE,2,Professional,24,TRUE,14660,4,SUV,FALSE,2848,1,FALSE,3,TRUE,27,9,69794,0,6,FALSE,0
"8271",1,2,FALSE,TRUE,FALSE,1,Blue Collar,32,FALSE,20170,10,Minivan,FALSE,697,2,FALSE,0,TRUE,42,15,85408,274402,8,FALSE,0
"8272",0,0,FALSE,FALSE,FALSE,0,Home Maker,27,TRUE,16600,1,SUV,FALSE,6089,2,TRUE,0,TRUE,55,11,3865,0,1,TRUE,5596.28374644413
"8273",0,0,FALSE,FALSE,TRUE,2,Clerical,34,TRUE,1500,4,Minivan,TRUE,0,0,FALSE,2,FALSE,43,7,58112,0,11,FALSE,0
"8274",0,0,FALSE,TRUE,FALSE,1,Clerical,5,TRUE,8030,17,SUV,FALSE,4528,3,FALSE,5,TRUE,54,12,65298,213225,1,FALSE,0
"8275",1,2,FALSE,TRUE,FALSE,1,Manager,28,TRUE,10630,13,SUV,FALSE,1381,1,FALSE,4,TRUE,37,9,54349,212419,11,FALSE,0
"8276",0,0,FALSE,FALSE,FALSE,1,Blue Collar,32,FALSE,10770,1,SUV,FALSE,0,0,FALSE,2,TRUE,44,12,31850,0,8,TRUE,5473.997384792
"8277",0,2,FALSE,TRUE,FALSE,1,Clerical,20,TRUE,10280,1,Sports Car,FALSE,0,0,FALSE,0,FALSE,44,7,20324,147038,1,FALSE,0
"8278",2,3,FALSE,TRUE,TRUE,2,Blue Collar,29,TRUE,15050,6,Minivan,TRUE,1927,3,FALSE,0,FALSE,37,11,159092,382687,8,FALSE,0
"8279",0,2,FALSE,TRUE,FALSE,0,Student,48,TRUE,7740,4,Sports Car,FALSE,7323,1,FALSE,7,TRUE,31,0,0,0,1,TRUE,5492.13200287249
"8280",2,2,FALSE,TRUE,FALSE,1,Home Maker,28,TRUE,5100,4,Minivan,FALSE,39425,3,TRUE,1,TRUE,36,0,0,110346,9,TRUE,787.653299873118
"8281",0,0,FALSE,FALSE,FALSE,2,Manager,14,TRUE,14630,1,SUV,FALSE,8395,2,FALSE,0,TRUE,54,12,77267,0,9,FALSE,0
"8282",0,0,FALSE,FALSE,FALSE,1,Student,53,FALSE,5500,1,Sports Car,FALSE,0,0,FALSE,0,FALSE,39,0,0,0,8,FALSE,0
"8283",1,2,FALSE,TRUE,TRUE,1,Student,29,TRUE,9240,1,Pickup,TRUE,8336,2,TRUE,5,TRUE,57,0,0,0,1,TRUE,4700.3381850563
"8284",0,2,TRUE,FALSE,FALSE,1,Student,22,TRUE,11520,9,SUV,FALSE,0,0,TRUE,0,TRUE,34,0,0,0,9,TRUE,3594.1328044961
"8285",0,0,FALSE,FALSE,FALSE,0,Student,27,TRUE,7030,10,SUV,FALSE,3564,1,FALSE,3,TRUE,48,10,7302,0,1,FALSE,0
"8286",0,0,FALSE,TRUE,TRUE,2,Blue Collar,40,TRUE,18200,4,Van,TRUE,1261,4,FALSE,2,TRUE,52,15,88691,279497,10,FALSE,0
"8287",1,2,FALSE,TRUE,TRUE,0,Student,42,TRUE,7200,1,Minivan,TRUE,5086,2,FALSE,2,TRUE,58,17,3272,0,5,FALSE,0
"8288",0,0,FALSE,TRUE,TRUE,1,Blue Collar,24,FALSE,7080,3,Pickup,FALSE,0,0,FALSE,2,TRUE,45,14,65466,212677,1,FALSE,0
"8289",0,0,FALSE,TRUE,FALSE,3,Lawyer,41,TRUE,9100,7,Sports Car,FALSE,4448,3,FALSE,0,TRUE,72,16,63890,256797,6,FALSE,0
"8290",0,0,FALSE,TRUE,FALSE,1,Manager,52,TRUE,13970,4,SUV,FALSE,5878,2,FALSE,3,TRUE,48,8,43075,175858,11,FALSE,0
"8291",0,0,FALSE,FALSE,FALSE,2,Blue Collar,7,FALSE,12350,13,Minivan,FALSE,0,0,FALSE,0,TRUE,49,9,90658,276028,7,FALSE,0
"8292",0,0,FALSE,FALSE,FALSE,4,Doctor,27,TRUE,9270,1,SUV,FALSE,0,0,FALSE,0,TRUE,57,14,200772,465304,13,FALSE,0
"8293",0,0,FALSE,FALSE,FALSE,3,None,23,TRUE,29390,6,Pickup,FALSE,8502,2,FALSE,0,TRUE,22,0,36821,193948,20,FALSE,0
"8294",0,0,FALSE,TRUE,TRUE,3,None,5,FALSE,5430,1,Pickup,TRUE,3267,1,FALSE,0,TRUE,53,13,108744,333039,11,FALSE,0
"8295",0,0,FALSE,TRUE,TRUE,1,Clerical,53,FALSE,8920,6,Pickup,TRUE,0,0,FALSE,0,FALSE,50,14,30795,174778,1,FALSE,0
"8296",0,0,FALSE,TRUE,TRUE,2,Manager,40,FALSE,33330,7,Panel Truck,TRUE,4765,3,FALSE,4,TRUE,59,12,155410,422815,10,FALSE,2.13989875438668e-12
"8297",0,3,FALSE,TRUE,FALSE,0,Blue Collar,38,TRUE,22520,5,Minivan,FALSE,3075,1,FALSE,6,TRUE,33,7,42335,147326,1,FALSE,0
"8298",0,0,FALSE,FALSE,TRUE,1,Clerical,18,FALSE,10450,1,Pickup,FALSE,3830,1,FALSE,8,TRUE,48,11,26875,0,6,TRUE,6378.427694963
"8299",1,3,TRUE,FALSE,TRUE,2,Professional,34,FALSE,25910,7,Panel Truck,TRUE,45894,2,TRUE,1,TRUE,42,11,99269,306012,10,TRUE,7686.67378377848
"8300",0,0,FALSE,FALSE,TRUE,1,Blue Collar,39,FALSE,16730,14,Van,TRUE,0,0,FALSE,0,FALSE,50,11,102262,0,8,FALSE,1.49353637696066e-12
"8301",0,0,FALSE,FALSE,FALSE,0,Home Maker,49,TRUE,2880,4,Sports Car,FALSE,0,0,FALSE,1,FALSE,53,2,13753,0,1,FALSE,2.66890667285205e-12
"8302",0,0,FALSE,TRUE,TRUE,2,Manager,16,TRUE,6400,4,Pickup,FALSE,0,0,FALSE,0,TRUE,49,9,60368,170643,4,FALSE,0
"8303",0,1,TRUE,FALSE,FALSE,1,Clerical,20,TRUE,8150,1,Sports Car,FALSE,7781,2,FALSE,3,TRUE,21,8,18483,0,1,TRUE,5043.60225821624
"8304",0,0,FALSE,FALSE,TRUE,3,Lawyer,14,TRUE,12360,1,Minivan,TRUE,0,0,FALSE,0,TRUE,50,9,58628,0,15,FALSE,0
"8305",0,0,FALSE,TRUE,TRUE,3,Home Maker,31,TRUE,6800,11,Pickup,TRUE,0,0,FALSE,0,TRUE,53,0,0,105085,14,FALSE,0
"8306",0,0,FALSE,TRUE,TRUE,2,Professional,24,TRUE,14530,1,Minivan,FALSE,0,0,FALSE,0,TRUE,49,2,81280,241420,6,FALSE,0
"8307",1,2,FALSE,TRUE,FALSE,4,Doctor,44,TRUE,1500,1,Sports Car,FALSE,2896,1,FALSE,8,TRUE,38,13,38317,125157,8,TRUE,4838.06952089751
"8308",0,0,FALSE,FALSE,FALSE,3,Lawyer,39,TRUE,18780,10,Pickup,FALSE,0,0,FALSE,0,TRUE,53,11,70026,0,11,FALSE,0
"8309",0,0,FALSE,FALSE,TRUE,3,Lawyer,26,TRUE,12910,4,Minivan,FALSE,0,0,FALSE,0,TRUE,49,8,106944,0,17,FALSE,0
"8310",0,0,FALSE,FALSE,TRUE,4,Manager,34,FALSE,30240,1,Panel Truck,FALSE,7478,2,FALSE,6,TRUE,48,8,134140,0,13,FALSE,0
"8311",0,0,FALSE,TRUE,TRUE,4,Doctor,26,TRUE,14610,6,Minivan,FALSE,0,0,FALSE,0,TRUE,53,13,176833,499433,5,FALSE,0
"8312",0,0,FALSE,FALSE,FALSE,4,Doctor,52,TRUE,13850,1,SUV,FALSE,2847,4,FALSE,7,TRUE,51,4,72453,0,15,TRUE,5586.73393339599
"8313",2,2,FALSE,TRUE,TRUE,2,Clerical,50,TRUE,11270,1,Minivan,TRUE,0,0,FALSE,3,TRUE,37,5,39547,235987,1,FALSE,0
"8314",0,3,TRUE,FALSE,FALSE,0,Clerical,5,TRUE,8830,10,Sports Car,FALSE,7486,3,FALSE,9,TRUE,26,13,14822,0,1,TRUE,7215.73724348925
"8315",0,0,FALSE,TRUE,FALSE,2,Home Maker,32,TRUE,6200,1,SUV,FALSE,0,0,TRUE,0,TRUE,47,0,0,56266,1,FALSE,0
